Air temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type_H,Type_L,Type_M
-0.7707165450191592,0.06818514034143007,0.24727414542049292,-1.6959837443286894,0,0,0,1
-0.7707165450191592,-0.7294715051501507,0.6482700838304385,-1.6488517007812828,0,0,1,0
-0.7707165450191592,-0.2274498401554495,0.9490170376378977,-1.6174303384163453,0,0,1,0
-0.7707165450191592,-0.5900210426516226,-0.053472808386966275,-1.5860089760514078,0,0,1,0
-0.7707165450191592,-0.7294715051501507,0.04677617621552012,-1.55458761368647,0,0,1,0
-0.7707165450191592,-0.6346451906511515,0.1470251608180065,-1.5231662513215325,0,0,0,1
-0.7707165450191592,0.10723126984101794,0.24727414542049292,-1.4760342077741262,0,0,1,0
-0.7707165450191592,-0.0656873036571569,0.04677617621552012,-1.4446128454091884,0,0,1,0
-0.7707165450191592,0.7152352863346004,-1.1562116390143167,-1.413191483044251,0,0,0,1
-0.7707165450191592,1.1280086553302437,-1.1562116390143167,-1.3660594394968446,0,0,0,1
-0.7707165450191592,1.3567074138278297,-1.6574565620267487,-1.318927395949438,0,1,0,0
-0.7707165450191592,-0.6458012276510338,0.44777211462546573,-1.240373990037094,0,1,0,0
-0.7707165450191592,-1.1143547816460881,1.1495150068428706,-1.1618205841247502,0,0,0,1
-0.7707165450191592,1.1335866738301847,-0.9557136698093438,-1.1146885405773437,0,0,0,1
-0.7707165450191592,2.767946094312934,-2.0584525004366943,-1.0675564970299374,0,0,1,0
-0.7707165450191592,0.017982973841959956,0.8487680530354113,-1.0361351346649996,0,0,1,0
-0.7707165450191592,-1.2705392996444398,0.6482700838304385,-1.004713772300062,0,0,0,1
-0.7707165450191592,-0.7183154681502684,0.5480210992279521,-0.9575817287526557,0,0,0,1
-0.7707165450191592,-1.2984293921441452,1.4502619606503298,-0.9104496852052493,0,1,0,0
-0.7707165450191592,0.5200046388366611,-0.755215700604371,-0.8318962792929053,0,0,0,1
-0.7707165450191592,-0.9135461156482078,0.24727414542049292,-0.7847642357454989,0,1,0,0
-0.7707165450191592,-0.49519472815262344,0.44777211462546573,-0.7062108298331549,0,0,1,0
-0.7707165450191592,0.2355256953396638,-0.9557136698093438,-0.6747894674682173,0,0,0,1
-0.27418481906944553,1.2228349698292427,-1.4569585928217759,-0.6276574239208109,0,0,1,0
-0.27418481906944553,0.12396532534084131,-0.2539707775919391,-0.5962360615558733,0,0,0,1
-0.27418481906944553,1.7973708753231785,-1.6574565620267487,-0.5491040180084669,0,0,1,0
-0.27418481906944553,-0.14935758115627376,-0.053472808386966275,-0.5176826556435293,0,0,1,0
-0.27418481906944553,1.5184699503261223,-1.5572075774242622,-0.48626129327859174,0,1,0,0
-0.27418481906944553,-0.5565529316519758,0.44777211462546573,-0.40770788736624775,0,0,1,0
-0.27418481906944553,0.8602637673330696,-0.9557136698093438,-0.3762865250013101,0,0,1,0
-0.27418481906944553,-1.1143547816460881,0.8487680530354113,-0.3448651626363725,0,0,0,1
-0.27418481906944553,1.4459557098268878,-1.4569585928217759,-0.2977331190889661,0,0,1,0
-0.27418481906944553,-0.6681133016507983,0.8487680530354113,-0.2663117567240285,0,0,1,0
-0.7707165450191592,0.7040792493347182,-0.755215700604371,-0.23489039435909093,0,0,1,0
-0.7707165450191592,0.11280928834095906,-0.5547177313993983,-0.2034690319941533,0,0,0,1
-0.7707165450191592,-0.48403869115274123,0.8487680530354113,-0.15633698844674693,0,0,0,1
-0.7707165450191592,0.2355256953396638,-0.35421976219442547,-0.10920494489934052,0,0,0,1
-0.7707165450191592,-0.5565529316519758,-0.053472808386966275,-0.06207290135193413,0,0,1,0
-0.7707165450191592,-0.8912340416484432,1.049266022240384,-0.030651538986996525,0,1,0,0
-0.7707165450191592,-1.0529965781467359,1.2497639914453569,0.047901866925347474,0,0,1,0
-0.7707165450191592,-0.9860603561474424,0.5480210992279521,0.07932322929028507,0,0,1,0
-0.7707165450191592,-0.9525922451477956,1.049266022240384,0.11074459165522267,0,0,1,0
-0.7707165450191592,-0.9525922451477956,0.9490170376378977,0.14216595402016027,0,0,0,1
-0.7707165450191592,-0.9302801711480311,0.8487680530354113,0.18929799756756668,0,1,0,0
-0.7707165450191592,-0.3724783211539187,0.7485190684329249,0.26785140347991065,0,0,0,1
-0.7707165450191592,-0.2776520066549196,0.9490170376378977,0.31498344702731707,0,0,1,0
-0.7707165450191592,1.6969665423242384,-1.4569585928217759,0.34640480939225465,0,0,0,1
-0.7707165450191592,-0.6736913201507394,0.6482700838304385,0.39353685293966106,0,0,1,0
-0.7707165450191592,-0.6346451906511515,1.3500129760478432,0.42495821530459865,0,1,0,0
-0.7707165450191592,-0.7071594311503862,0.44777211462546573,0.5035116212169427,0,0,0,1
-0.7707165450191592,7.3753893752643025,-3.56218726947399,0.5506436647643491,1,0,1,0
-0.7707165450191592,-0.8689219676486788,1.4502619606503298,0.5820650271292866,0,0,1,0
-0.7707165450191592,-0.23302785865539064,0.3475231300229793,0.6134863894942243,0,1,0,0
-0.7707165450191592,0.1462773993406058,-0.45446874679691185,0.6920397954065682,0,0,1,0
-0.7707165450191592,0.8491077303331874,-0.9557136698093438,0.7234611577715059,0,0,1,0
-0.7707165450191592,-0.14935758115627376,0.04677617621552012,0.7548825201364434,0,0,1,0
-0.7707165450191592,-0.3445882286542131,0.24727414542049292,0.7863038825013811,0,0,1,0
-0.7707165450191592,-0.14377956265633265,0.04677617621552012,0.8177252448663187,0,0,1,0
-0.7707165450191592,0.6817671753349537,-1.0559626544118303,0.8491466072312562,0,0,0,1
-0.7707165450191592,-0.8968120601483844,1.4502619606503298,0.8962786507786626,0,0,1,0
-0.7707165450191592,-0.8131417826492675,1.2497639914453569,0.9277000131436003,0,0,1,0
